"tag","text"
"fake","Breaking: At least 10 dead, 5 injured after tO gunman open fire in offices of Charlie Hebdo,satirical mag that published Mohammed cartoons "
"fake","France: 10 people dead after shooting at HQ of satirical weekly newspaper #CharlieHebdo, according to witnesses http://t.co/FkYxGmuS58 "
"fake","Ten killed in shooting at headquarters of French satirical weekly Charlie Hebdo, says French media citing witnesses #c4news "
"fake","BREAKING: 10 dead in shooting at headquarters of French satirical weekly #CharlieHebdo - French media citing witnesses. #France "
"fake","Reuters: 10 people shot dead at headquarters of French satirical weekly publication Charlie Hebdo in #Paris after gunmen stormed the office "
"fake","10 people have died in a shooting at the Paris HQ of French weekly Charlie Hebdo, reports say. http://t.co/xcK8lY9IeR http://t.co/vsoysCGAbx "
"fake","French radio @Europe1 says attackers on offices of Paris weekly ran out yelling Allahu Akbar #Charliehebdo "
"fake","BREAKING: 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo http://t.co/5F1DOwzoCQ "
"fake","BREAKING NEWS: Ten dead in shooting at headquarters of French satirical weekly Charlie Hebdo - French media @Reuters @akhbar "
"fake","Witness says multiple gunmen involved in shooting at Paris HQ of French satirical magazine Charlie Hebdo - @AP http://t.co/ZFJYh80uxy "
"fake","BREAKING: 10 people shot dead at headquarters of French satirical weekly publication Charlie Hebdo in #Paris after gunmen stormed office. "
"fake","BREAKING: Paris: 10 dead in attack on satirical paper that poked fun at Mohammed http://t.co/4qqVIjLP8A #CharlieHebdo http://t.co/kqQecEWknq "
"fake","BREAKING: Paris police say shots fired at satirical newspaper Charlie Hebdo; witness says multiple gunmen involved. "
"fake","BREAKING: 10 reported dead in Charlie Hebdo HQ shooting - local media http://t.co/Q27XnP3AS3 "
"fake","Armed with kalachnikovs &amp; rocketlauncher, 2 men open fire at French satirical mag Charlie Hebdo that published Prophet Mohamed cartoons @AFP "
"fake","Paris police: 10 dead, 5 injured at #CharlieHebdo shooting "
"fake","BREAKING: 'Ten shot dead' as gunmen storm HQ of satirical magazine Charlie Hebdo in Paris http://t.co/yGyND65MR8 https://t.co/BFVHx422JS "
"fake","Now we are confirming 10 dead in #Paris #CharlieHebdo shooting, via prosecutors office @AFP "
"fake","Breaking: Armed men attack offices of French satirical magazine Charlie Hebdo, killing at least 10, police say http://t.co/tYCeEMKwOo "
"fake","Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw "
"fake","Appalled by the attack on Charlie Hebdo in Paris, 10 - probably journalists - now confirmed dead. An attack on free speech everywhere. "
"fake","Update - Telegraph reporter Henry Samuels tells Sky News 10 people have been killed in shooting at Charlie Hebdo headquarters in #Paris "
"fake","Just confirmed. 10 people dead at shooting in the centre of #Paris. Many believed to be journos working for #CharlieHebdo "
"fake","French official says attack on Paris weekly #CharlieHebdo was with Kalachnikov automatic rifles and rocket launcher. Unprecedented. #AFP "
"fake","Ten dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/JXujfbiZGu "
"fake","10 dead as shots fired at French satirical weekly #CharlieHebdo. #AFP http://t.co/KqSnXV4Kqf "
"fake","Unconfirmed reports that #CharlieHebdo attackers shouted The Prophet is avenged and used a rocket launcher. This is next level ****. "
"fake","Scene at Paris HQ of satirical magazine Charlie Hebdo - police confirm gunmen kill at least 10 http://t.co/t3gks9dapq http://t.co/bnD65c9hwF "
"fake","11 dead as shots fired at French satirical weekly #CharlieHebdo. Photo: Philippe Dupeyrat #AFP http://t.co/q38epI1b8b "
"fake","Update - 11 people dead at headquarters of French satirical weekly publication Charlie Hebdo after armed gunmen stormed the office in #Paris "
"fake","10 people confirmed dead in Paris attack - rocket launcher used in assault, according to reports http://t.co/7N7uvClhWY "
"fake","Paris-based journalist says the attack on Charlie Hebdo's HQ involved men armed with rocket propelled grenades http://t.co/1PJH17mcLz "
"fake","BREAKING UPDATE: 11 dead, 10 wounded in Charlie Hebdo HQ shooting - Paris police http://t.co/Q27XnP3AS3 "
"fake","LIVE - 11 dead in shooting at HQ of satirical weekly @Charlie_Hebdo_ in Paris (police source) https://t.co/4yt6nafpIg #CharlieHebdo "
"fake","Witnesses say several masked men were involved in the shooting at #CharlieHebdo's Paris HQ. http://t.co/xcK8lY9IeR http://t.co/QPKtv7stET "
"fake","Several men in black cagoules were heard to shout 'the Prophet has been avenged.' http://t.co/wu7XfGcZsM "
"fake","BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY "
"fake","Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc "
"fake","At least 11 dead and 5 injured after gunmen storm Charlie Hebdo office in Paris http://t.co/Ujw9LonL8N http://t.co/JnhZmKeW5M "
"fake","Police say 11 now dead in carnage at #CharlieHebdo HQ in Paris - follow our coverage: http://t.co/IClDjevRnB http://t.co/aQkN3PMfkt "
"fake","BREAKING Charlie Hebdo latest: 11 dead 10 wounded (five critical) two gunmen unaccounted for http://t.co/kjW3uwCV0f http://t.co/9K8ICs97Be "
"fake","#CharlieHebdo - 11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7 "
"fake","At least 11 dead in shooting at HQ of #CharlieHebdo in #Paris (police source)https://t.co/e4dBcNVbvD "
"fake","11 dead in Paris shooting at French satirical newspaper Charlie Hebdo, police official says - @AP http://t.co/ZFJYh80uxy "
"fake","French media to be put under police protection according to Le Figaro, quoting source in police. #Charliehebdo "
"fake","Charlie Hebdo gunmen reportedly heard shouting: 'Prophet has been avenged' http://t.co/6Q9j9NkVO5 http://t.co/HxMmpdlA38 "
"fake","Horrendous story from Paris - 11 shot dead + many wounded at offices of satirical mag #CharlieHebdo that published cartoons of Muhammad. "
"fake","11 confirmed dead, Francois Hollande to visit scene of attack - latest from Paris: http://t.co/7N7uvClhWY http://t.co/EgmxARAdEP "
"fake","Armed men were reportedly asking for journalists by name at Charlie Hebdo. Unimaginable.. http://t.co/A11KlzNPnn "
"fake","#CharlieHebdo - 11 dead including 2 police in Paris shooting. Photo: @MartinBureau1 #AFP http://t.co/xkczbYS82E "
"fake","#CharlieHebdo - 11 dead including 2 police in Paris shooting by @MartinBureau1 #AFP http://t.co/T8HpVdpjjN "
"fake","Charlie Hebdo attackers were two masked men brandishing Kalashnikovs and rocket launchers http://t.co/EX1xB40JWS http://t.co/oi7ppQYkQT "
"fake","Gunmen reportedly asked for victims by NAME before shooting them #CharlieHebdo. Live updates: http://t.co/w2A2CcyPkN http://t.co/150t62a5IN "
"fake","Paris police say 11 dead after shooting at French satirical weekly Charlie Hebdo http://t.co/K4WBMHDNxO "
"fake","French President Hollande condemns barbaric act after #CharlieHebdo gun attack kills 11 http://t.co/keuR4WvpHu http://t.co/vyuRvukz1N "
"fake","Video showing #CharlieHebdo attack. Allahu akbar shouts http://t.co/y1ErbSGv5P "
"fake","#CharlieHebdo gunmen fled in stolen car after 'mass shoot-out' with police officers http://t.co/eocvQn42Hg http://t.co/545ooj5xMM "
"fake","French leader: Attack that killed 11 at Paris newspaper an act of terror, other attacks thwarted in recent weeks: http://t.co/9rrqfEaQj5 "
"fake","Reports #CharlieHebdo gunmen were asking for journalists by name before opening fire. Armed with AK47s and RPG "
"fake","Graphic: Video shows gunmen with automatic rifles during attack on #CharlieHebdo in #Paris: https://t.co/fQXxNsJOWq http://t.co/Y0uxe72R2N "
"fake","Reports that two of the dead in the #CharlieHebdo attack are police officers http://t.co/2J4WQdJnTp http://t.co/LiPDxdq1cb "
"fake","Charlie Hebdo massacre in Paris carried out with military precision - gunmen appeared to seek out journalists by name, police suggest. "
"fake","Awful. 11 shot dead in an assault on a Paris magazine. http://t.co/xxINS8etDB #CharlieHebdo http://t.co/as3YoLthcx "
"fake","New vid of Paris attack on #CharlieHebdo filmed by a witness. Gunmen on street shout Allahu Akbar http://t.co/TaZEDtGFlW @akhbar "
"fake","Armed gunmen face police officers near the offices of the satirical newspaper #CharlieHebdo Photo: Anne Gelbard #AFP http://t.co/k669PHgVw5 "
"fake","Chilling video allegedly of #CharlieHebdo attackers filmed from rooftop. A cry of 'Allahou Akbar' followed by shots http://t.co/G3rHLmAFtH … "
"fake","Charlie Hebdo journalist Wandrille Lanos tells France 2 that men with kalashnikovs entered the office, calls it a scene of carnage. "
"fake","Fact that the Gunmen were shouting Allah Hu Akbar while shooting rules out any connection with the Religion of peace. #CharlieHebdo "
"fake","Cartoonist Stephane Charbonnier was critically injured in the attack (LeFigaro) #CharlieHebdo http://t.co/fHMfUmQffo "
"fake","12 confirmed dead in #CharlieHebdo attack (@AFP) http://t.co/82wVYNxteC "
