"tag","text"
"fake","Breaking news: Ghana international and AC Milan star Michael Essien has contracted Ebola, his club has confirmed."
"fake","Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH"
"fake","BREAKING: Unconfirmed reports claim AC Milan midfielder Michael Essien has contracted the Ebola virus. #GetWellSoon http://t.co/9h2spi4T0J"
"fake","Milan have stated that the reports about Essien having Ebola are completely false.http://t.co/Sb9v9ulfTX@MichaelEssien"
"fake","AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/swnPfExdFx"
"fake","Milan release official statement on their site saying that the reports of Michael Essien having Ebola are false. http://t.co/qYDG0RcOZh"
"fake","AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw"
"fake","AC Milan have confirmed that the reports about Michael Essien having Ebola are completely false."
"fake","No truth in internet rumours that I have contracted Ebola.i m very well &amp; I'm doing very gud &amp; will be training as usual tomorrow.#falsenews"
"fake","Micheal Essien denying the Ebola rumours like https://t.co/H2E1TAzeha"
"fake","Good news: The rumours that Michael Essien has contracted the Ebola virus are false. http://t.co/5d7hCL46mR http://t.co/VtGuLnjWBD"
"fake","I'm very fit and very healthy,No truth in the internet rumours that I have contracted Ebola.im well &amp;… http://t.co/TGidyI5JVG"
"fake","AC Milan have denied reports that midfielder Michael Essien has contracted Ebola while on national duty with Ghana #SSFootball"
"fake","Essien and his lawyers are considering to file a lawsuit against the Nigerian media that reported the fake Ebola story."
