"tag","text"
"fake","can someone get us in 2 the secret prince show in toronto tomorrow "
"fake","TORONTO????@AUXTV saying something about a secret Prince show tomorrow?Maybe at @masseyhall?Personally I've got no idea! Any more info? "
"fake","PRINCE IN TORONTO TONIGHT:@3RDEYEGIRL tweeted this morning to say OTNOROT CALLING, which is Toronto backwards, obviously.... Seems it's on! "
"fake","TORONTO 2NITE: This is a page from @Ticketmaster which states Prince is playing @masseyhall http://t.co/pjsH9JAnnq http://t.co/72ioWI7EfN "
"fake","I know why Prince &amp; @3RDEYEGIRL starts the tour by Toronto... 😁BikeSculture 🚲🚲🚲🚲🚲🚲🚲 http://t.co/yrihppnFkK "
"fake","Toronto is in 4 a treat 2nite....@Prince_NPG @3RDEYEGIRL @HannahFordDrums @idanielsenbass @DonnaGrantis @JOSHUAWORLD #TDOT "
"fake","TWO TORONTO SHOWS TONIGHT? Looks like @drfunkenberry is hinting at TWO @masseyhall Prince shows tonight.... stay tuned! "
"fake","Just noticed HALL of desire in that @drfunkenberry tweet. So, yeah, Massey Hall. Prince. Gah. "
"fake","Rumours that Prince is playing Massey Hall tonight - listen for details in 5 mins: http://t.co/IByVwVORFh #MusicNerd "
"fake","Prince pulled this tweet, but I caught it. A Toronto surprise is coming. Let's go crazy. http://t.co/uu3vOm0FbK "
"fake","Prince to perform surprise show in Toronto http://t.co/yjizydWAtf "
"fake","Surprise Prince show hitting Toronto tonight? My brain just melted. "
"fake","Prince to perform surprise show in Toronto http://t.co/Kj7HibxIrx http://t.co/GrkgI3n5xV "
"fake","Big rumour of the day. Prince is playing Massey Hall tonight.. barriers and fans showing up outside "
"fake","Are you a Prince fan? Do you live in Toronto? You might want to check this article out: http://t.co/qgXsag2ygC #surpriseshow "
"fake","TORONTO: Quick reminder that Prince is seemingly playing @masseyhall tonight... No more details at the minute! "
"fake","***Not confirmed yet***Prince to perform surprise show in TorontoPrince is rumoured to be performing a... http://t.co/4KrJbn5W1K "
"fake","Is Prince doing surprise show in Toronto? http://t.co/oWCOa2YVv9 #hotticket "
"fake","VIDEO: Prince to perform a surprise show in Toronto http://t.co/nBkcvGZeg3 http://t.co/NTsPuCpKUa "
"fake","Possibly-incoming-but-who-the-hell-knows-with-this-guy-really: Prince @ Massey Hall - November 4 (2 shows and yes that's tonight) O-{+&gt; "
