"tag","text"
"real","#Últimahora Es tracta d'un aparell de Germanwings amb 152 passatgers a bord http://t.co/hT5BhpuGuv "
"real","Route map now being shared by http://t.co/LZkOXadHKa. #4U9525 https://t.co/Hq8KbP2aus "
"real","Pray for #4U9525 http://t.co/II7Rl24ffH "
"real","Airbus A320 #4U9525 crash: Flight tracking data here: http://t.co/9W6hfTGYQV #airbus http://t.co/RchXQsoqdJ "
"real","Flightradar24 has this as the plane's last position. #4U9525 https://t.co/KffO4s4N6G "
"real","IMAGE: Flightradar24 has this as the plane's last position. #4U9525 http://t.co/CIeAyJ4AOf - @BBCRosAtkins "
"real","Last position Germanwings A320 via @flightradar24 http://t.co/kJ5F9vlNQs "
"real","Germanwings A320 D-AIPX is one of the oldest A320 with serial number 0147 and was delivered in Nov 1990#4U9525 http://t.co/SW9ykvWtnW "
"real","Last few positions of the @germanwings flight plotted on a map http://t.co/UX5G1gYGX7 "
"real","JUST IN: Airbus plane operated by Lufthansa's Germanwings budget airline crashes in southern France: Officials "
"real","BREAKING Last few positions of the @germanwings flight plotted on a map http://t.co/wryDeXWNPV /@planefinder "
"real","Playback of flight #4U9525 is available on http://t.co/FHoX6q0GHtPictures http://t.co/VWG2skC75J http://t.co/e4D5Tx8n1x "
"real","An Airbus A320 plane operated by Germanwings crashed in France near Digne les Bains, French Prime Minister says. http://t.co/iWeLBpmiHS "
"real","MORE: #4U9525 jet belonged to Germanwings low-cost, authorities confrm the crash, debris found http://t.co/zU6hn03xzU http://t.co/0yWIEnAtJT "
"real","Germanwings Airbus A320 crashes in French Alps: What we do and do not know http://t.co/3xKSCtFFwT http://t.co/ugwghZVbHr "
"real","BREAKING: Germanwings Airbus A320 en route from Barcelona to Dusseldorf crashes in southern French Alps -- French PM. http://t.co/UhEDxeVTkX "
"real","Playback of flight #4U9525 with speed and altitude graph is available on http://t.co/FHoX6q0GHt http://t.co/amfKBbdeok "
"real","Here is the speed and altitude graph of #4U9525 from @flightradar24. Scary stuff, shows it impacted ground at 400kts http://t.co/2ZYbh4MIih "
"real","Likely there'll be no survivors in #Germanwings crash, French President Francois Hollande says. Follow our coverage http://t.co/KH4ZKClfml "
"real","UPDATE @flightradar24 altitude &amp; speed chart of #4U9525 http://t.co/wGXZMtDVDI http://t.co/pFdVDioV0e "
"real","The route of the Germanwings Airbus A320 plane which has crashed. Updates of #alpscrash here: http://t.co/L8qr5Lp1c1 http://t.co/vG7819ORUd "
