"tag","text"
"fake","#Ottawa police confirm shooting at War Memorial. Reports say victim may be a soldier. "
"fake","Only photo I will tweet. CPR being performed on the soldier now. I heard four shots. #ottawa http://t.co/cqdw1yx8AI "
"fake","At the war memorial in. Ottawa. A soldier has been shot. They are giving him treatment now. #breaking http://t.co/cTmlb1LvgG "
"fake","Uniformed Canadian soldier shot at War Memorial in #Ottawa. "
"fake","Shots fired on parliament hill after a man walked up with a gun. I'm locked in a security office on parliament hill "
"fake","#BREAKING: Reports of shots fired on Parliament Hill "
"fake","BREAKING | Centre block and east block at Parliament Hill are locked down. #cbcOTT #OTTnews "
"fake","BREAKING - Shooting on Parliament Hill. RCMP have weapons drawn #cdnpoli http://t.co/38qOgXcuet "
"fake","#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/B8LinPFjvj http://t.co/olsk7N4X5T "
"fake","Witness says say three or four shots fired at #Ottawa's War Memorial, Soldier wounded, being treated by several paramedics. "
"fake","BREAKING: CTV News confirms that shots have been fired on Parliament Hill. "
"fake","RCMP yelling everyone to back away from Parliament Hill. Weapons out. Word of shooting inside. #cdnpoli http://t.co/aiXtvjlLP6 "
"fake","Witness tells #CBCNews suspected shooter of uniformed soldier at #Ottawa's War Memorial was carrying rifle. "
"fake","Scene at Ottawa war memorial. Soldier on duty shot. http://t.co/QvXGDUM4NC "
"fake","BREAKING NEWS: Soldier shot at National War Memorial in Ottawa http://t.co/pp6hcfWcRw "
"fake","Parliament Hill in lockdown after soldier shot at #Ottawa's War Memorial, just south of East Block. "
"fake","#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma "
"fake","So I am locked down in Centre Block on Parliament Hill after at least one shooter burst in and opened fire "
"fake","Shooter still on loose after uniformed soldier shot at #Ottawa's War Memorial, across road from Parliament. MP's being taken out of offices. "
"fake","Soldier shot at National War Memorial in Ottawa http://t.co/Sgmcq7gUzf #cdnpoli #hw "
"fake","#DEVELOPING story here: Soldier shot in Ottawa at War Memorial http://t.co/jjL9ezaDjt "
"fake","BREAKING NEWS: At least 3 shots fired at Ottawa War Memorial. One soldier confirmed shot - http://t.co/wiPaKVPSDb http://t.co/vwxeqj8xe9 "
"fake","Shots are fired outside Canadian parliament in Ottawa and a soldier is wounded, local media report http://t.co/Ygpjna1CRG "
"fake","MORE: @CTVNews reporting second shooting behind Peace Tower on Parliament Hill #ottnews SHOOTER IS ON THE LOOSE. "
"fake","BREAKING: There have been two shootings on Parliament Hill. One of the victims is believed to be a member of the Canadian Forces. "
"fake","One person shot outside Centre Block, a second wounded inside the building in Parliament Hill shooting http://t.co/zng0g0aelU "
"fake","Watch live: CBC NN coverage of shooting of soldier at Ottawa Cenotaph; shooter still on loose around Parliament Hill: http://t.co/16oYL4awFM "
"fake","BREAKING: Reports of second shooting behind Peace Tower, solider shot on War Memorial a short time ago. Shooter is on the loose. "
"fake","Snipers set up on National Art Gallery as we remain barricaded in Centre Block on Parliament Hill #cdnpoli. http://t.co/lWKaxLI9jO "
"fake","RT @WatchCTVNews: LIVE NOW: Cops swarm Parliament Hill following reports of a shooting http://t.co/ekj0wMrYdV http://t.co/55Iz2M0542 "
"fake","#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/3k0YV9dfLq http://t.co/atLjT75nz0 "
"fake","UPDATE: Shots fired on Parliament Hill, soldier injured at National War Memorial in Ottawa http://t.co/6IRrutW1PI "
"fake","Police say they have located car belonging to suspect in #Ottawa shooting. Uniformed soldier shot at War Memorial, condition unknown. "
"fake","Thoughts and Prayers with everyone in Ottawa (our office is here in Capital) right now on Parliament Hill with shots fired #PrayForOttawa "
"fake","Soldier shot at National War Memorial in Ottawa http://t.co/WABNVkk7wA http://t.co/SRMYiIoOY9 "
"fake","BREAKING: Soldier shot at War Memorial in Ottawa, Hill on lockdown, shooter at large http://t.co/64V216TLzO #ottnews "
"fake","Canada's Parliament Hill is on lockdown as police hunt shooting suspect; at least 1 injured - @CBCNews, @TorontoStar http://t.co/aF9HyT9BgX "
"fake","OTTAWA SHOOTING:- Soldier shot at war memorial- Parliament Hill locked down- PM Harper safe, 'off the hill' http://t.co/LmbpYiNH9A "
"fake","Soldier shot at National War Memorial in Ottawa http://t.co/9jLwNdsKp2 http://t.co/0a3tmPyUw9 "
"fake","#BREAKING: Soldier shot at war memorial near Canadian parliament: http://t.co/vAAbHQcZif "
"fake","Soldier shot at National War Memorial in Ottawa http://t.co/atjCEAGiHB "
"fake","Canada police say suspect in Ottawa shooting still at large, tactical units on scene. "
"fake","#ottnews #ctvottawa Reports man has been apprehended on Parliament Hill. As many as 30 shots fired - soldier shot at War Memorial. "
"fake","DEVELOPING NEWS: Soldier shot at War Memorial. Watch CBC NN for coverage. Or follow online: http://t.co/QSm0x0bM2Khttp://t.co/QcwgN8OgHB "
"fake","DEVELOPING STORY: Soldier shot in #Ottawa at War Memorial. http://t.co/mm5SwzQpyZ http://t.co/U94FCGWlsi "
"fake","Soldier shot, Parliament locked down after gunfire erupts at war memorial. Developing story: http://t.co/ULAKX3dYO1 http://t.co/o5P3RDYb8C "
"fake","Very reliable source on Parliament Hill tells me the assailant has been killed. #cdnpoli #ottnews "
"fake","Source says ONE suspect shot and killed inside PARLIAMENT HILL - security sweep still underway. #ottnews #BREAKING "
"fake","Several MPs tweeting that lone gunman shot dead in Centre Block. All MPs reportedly safe. #cdnpoli #ottawa "
"fake","UPDATED: Shots fired on Parliament Hill, soldier injured at National War Memorial http://t.co/eyhV6c2yiv http://t.co/wy63eYJbB1 "
"fake","BREAKING: At least 20 shots have been fired in the Canadian parliament in Ottawa, according to witnesses. "
"fake","Shooting in downtown Ottawa, police evacuating Rideau Centre and closing off Wellington. Stay safe #uOttawa students "
"fake","Parliament was stormed by at least one gunman who shot a soldier standing guard at Canada's war memorial. #cbcOTT #OTTnews "
"fake","Recap: Parliament Hill in lockdown after uniformed Canadian soldier shot at War Memorial. Suspect on loose; witnesses say he had rifle. "
"fake","The gunman in Ottawa has been shot and killed. I'm at a loss for words this morning. That isn't my Canada. "
"fake","DEVELOPING story: Shots fired on Parliament Hill, soldier shot at War Memorial http://t.co/5fZ7wO6Gm4 #Ottawa http://t.co/Jb1pi3IysA "
"fake","WATCH LIVE: The scene outside Parliament Hill where a soldier has been shot http://t.co/k1d6G8HR0o "
"fake","Two Tory MPs say gunman at Parliament Hill has been 'shot and killed' http://t.co/r2qnyftxXF http://t.co/mksfPjJ73r "
"fake","Canadian media: Gunman shot soldier at war memorial. http://t.co/zNhxK6wBoy "
"fake","Canadian parliament on lockdown after shooting – live updates http://t.co/PBLZPFqhAP "
"fake","We are hearing a shooter is still on the loose here in DT Ottawa with a rifle please pray for our police and soldiers #PrayForOttawa "
"fake","Scene outside Canada's parliament where soldier shot by gunman at National War Memorial, http://t.co/t1HQMYQ6QB http://t.co/bMzDnPL1NX "
"fake","Witnesses say several dozen shots fired inside Parliament buildings after Canadian soldier shot at nearby War Memorial. #Ottawa #cdnpoli "
"fake","Witnesses say several dozen shots fired inside Parliament buildings after Canadian soldier shot at nearby War Memorial. #cbcOTT #OTTnews "
"fake","Shots were fired at Canada's national war memorial in Ottawa and a ceremonial guard was shot, police say. http://t.co/9KkQ1apxxW "
"fake","Snipers now on top of Ottawa's National Art Gallery after gunfire at parliament http://t.co/bEFu7HisyW (@dmatthewmillar pic) "
"fake","Shooting in Canadian parliament comes day after ISIS-inspired radical drove in2 Canadian soldier. Also reports of shooting at War memorial/1 "
"fake","Witnesses say as many as 50 shots fired at Parliament Hill. Gunfire reported within the Parliament building. #ottawa http://t.co/HGevLjele0 "
"fake","OTTAWA SHOOTING- Soldier shot at memorial- Parliament Hill on lockdown- Harper, Mulcair, Trudeau, safehttp://t.co/rrG871HBGv "
"fake","Update: Reuters reports a witness who says police chased a suspect into Candian parliament in #Ottawa &amp; then heard 30 shots fired inside "
"fake","UPDATE: Reports of gunfire inside the halls of the Canadian Parliament building in #Ottawa: http://t.co/tjycT5YQcv "
"fake","#OTTAWA SHOOTING: Police claim multiple suspects at large, ask people to avoid Paraliment area http://t.co/Zp9AKplH9p http://t.co/b3yQV4ewOs "
"fake","BREAKING UPDATE: Soldier shot at National War Memorial in Ottawa, Canada, police tell @ABC News - http://t.co/wg7WHTjJGI "
"fake","DEVELOPING MPs tweeting that gunman has been shot dead. CBC has not confirmed this. Condition of soldier also unknownhttp://t.co/QcwgN8OgHB "
"fake","DEVELOPING: Shooting suspect at large inside Canadian Parliament: reportshttp://t.co/hU0OfoOGEC http://t.co/5fkHcPaK97 "
"fake","More shots fired on Parliament Hill. "
"fake","Very tense situation in Ottawa this morning. Multiple gun shots fired outside of our caucus room. I am safe and in lockdown. Unbelievable. "
"fake","More shots fired just off Parliament Hill. Police telling everyone to take cover. "
"fake","Canada's parliament in lockdown after shooting - follow our live coverage here:http://t.co/1AhAZAaFUW http://t.co/Sf7EkD4PEB "
