"""tag"",""text"""
"""real"",""Breaking: At least 10 dead, 5 injured after tO gunman open fire in offices of Charlie  Hebdo,satirical mag that published Mohammed cartoons"""
"""real"",""France: 10 people dead after shooting at HQ of satirical weekly newspaper #CharlieHebdo, according to witnesses http://t.co/FkYxGmuS58"""
"""real"",""Ten killed in shooting at headquarters of French satirical weekly Charlie Hebdo, says French media citing witnesses #c4news"""
"""real"",""BREAKING: 10 dead in shooting at headquarters of French satirical weekly #CharlieHebdo - French media citing witnesses. #France"""
"""real"",""Reuters: 10 people shot dead at headquarters of French satirical weekly publication Charlie Hebdo in #Paris after gunmen stormed the office"""
"""real"",""10 people have died in a shooting at the Paris HQ of French weekly Charlie Hebdo, reports say. http://t.co/xcK8lY9IeR http://t.co/vsoysCGAbx"""
"""real"",""French radio @Europe1 says attackers on offices of Paris weekly ran out yelling ""Allahu Akbar"" #Charliehebdo"""
"""real"",""BREAKING: 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo http://t.co/5F1DOwzoCQ"""
"""real"",""BREAKING NEWS: Ten dead in shooting at headquarters of French satirical weekly Charlie Hebdo - French media @Reuters @akhbar"""
"""real"",""Witness says multiple gunmen involved in shooting at Paris HQ of French satirical magazine Charlie Hebdo - @AP http://t.co/ZFJYh80uxy"""
"""real"",""BREAKING: 10 people shot dead at headquarters of French satirical weekly publication Charlie Hebdo in #Paris after gunmen stormed office."""
"""real"",""BREAKING: Paris: 10 dead in attack on satirical paper that poked fun at Mohammed http://t.co/4qqVIjLP8A #CharlieHebdo http://t.co/kqQecEWknq"""
"""real"",""BREAKING: Paris police say shots fired at satirical newspaper Charlie Hebdo; witness says multiple gunmen involved."""
"""real"",""BREAKING: 10 reported dead in Charlie Hebdo HQ shooting - local media http://t.co/Q27XnP3AS3"""
"""real"",""Armed with kalachnikovs &amp; rocketlauncher, 2 men open fire at French satirical mag Charlie Hebdo that published Prophet Mohamed cartoons @AFP"""
"""real"",""Paris police: 10 dead, 5 injured at #CharlieHebdo shooting"""
"""real"",""BREAKING: 'Ten shot dead' as gunmen storm HQ of satirical magazine Charlie Hebdo in Paris http://t.co/yGyND65MR8 https://t.co/BFVHx422JS"""
"""real"",""Now we are confirming 10 dead in #Paris #CharlieHebdo shooting, via prosecutors office @AFP"""
