"tag","text"
"real","A police operation is underway in Martin Place, Sydney's CBD. People are advised to avoid the area. "
"real","#BREAKING A police operation is underway in the heart of Sydney's CBD with one block of Martin Place blocked off. "
"real","Australian Police Operation Under Way In Sydney http://t.co/FHC09vZ3yP "
"real","Prayers needed for the situation happening in Sydney right now. "
"real","This is not going to end well in Sydney . Wake up Britain it's coming here. "
"real","Any lone nutjob who wants international attention for a crime now just has to wave a black flag around. Voila #sydney "
"real","Careful what you post about #Lindt Sydney siege; it feeds into bad guys' actions/reactions. Emergency responders need clear air. "
"real","Every citizen of Sydney has an obligation to help Police etal maintain operational security around Lindt Cafe. Do NOT tweet Police moves "
"real","If you are in Sydney near Martin Place, do NOT tweet police movements, or mention them anywhere else. "
"real","I repeat=&gt;if you are in Sydney, do NOT tweet or post news of what Police are doing around Martin Place. Assume jihadists follow social media "
"real","What's happening in Sydney will happen in the uk it's inevitable, and our political leaders will have blood on their hands "
"real","No one fully knows what is happening with the #sydneysiege but we do know anti-muslim and ignorant speculation isn't needed. "
"real","DEVELOPING: Major police operation underway at Martin Place in Sydney's central business district, police tell @ABC News. "
"real","Fingers crossed for Sydney. One day we won’t live in a world where humans terrorise each other "
"real","Be especially kind to each other today, Sydney. Especially to our Muslim friends - don't let good people be judged by the actions of a few. "
"real","Do not forget that the overwhelming majority of Muslims are as disgusted by the actions of these few fanatics as you or I are #sydneysiege "
"real","Thoughts and prayers with everyone involved in this terrible situation in Sydney right now. #peace "
"real","There are no verses in the Quran about Me wanting anyone to hold hostages in a chocolate shop in Sydney, you terrorist fucks. "
"real","Sky News reporter @campricenews at the scene of the #sydneysiege. Live now on Sky News + http://t.co/FwFefoiKa2https://t.co/6FXegnved4 "
"real","If you have any lingering doubts that the threat of radical Islam is global as well as lethal ... http://t.co/iKxnrd3Xal via @smh "
"real","If there's a Sydney-style attack in the U.S. all these anti-cop protests will end in about two seconds. "
"real","Police outside the Lindt cafe in Martin Place. Photo by Fairfax photographer Daniel Munoz. #SydneySiege http://t.co/2bmB5jRqjI "
"real","Horrifying news about Sydney hostagesPlease remember to ONLY blame the individuals involved not the religion they claim to operate under "
"real","Plea to media - do not tweet tactical information about police positions in Sydney siege "
"real","Blame-game, disharmony &amp; hatred against all Muslims is what these fanatics at #MartinPlace #SydneySiege want! Don't let them win. #Prayers "
"real","thinking of the people in Martin Place in Sydney right now, and for the police, etc having to deal with the situation. so terrifying "
"real","Major police operation unfolding in downtown Sydney http://t.co/thNggxxGEQ "
"real","#SydneySiege no real time operational footage or on the ground movements will be shared by the media to ensure terrorists are not aided. "
"real","DO NOT TWEET POLICE MOVEMENTS. Don't tweet photos of police, their faces, their location, anything. Seriously. It's simple #sydneysiege "
"real","BREAKING NEWS: All Qantas flights are diverting around Sydney CBD but are operating as per schedule at this stage "
"real","Are you in #Sydney? Have you witnessed the #MartinPlaceSiege? Tweet us NOW at @BBC_HaveYourSay #sydneysiege http://t.co/NBveZGlDni "
"real","Police asking for blackout of social media reporting around delicate terror 'event' in Sydney CBD that can impact tacticals @techau RT plz "
"real","A major police operation is under way in Sydney, Australia; police advise avoiding Central Business District. http://t.co/02SVSxOrFt "
"real","DEVELOPING: Major police operation underway in Sydney's central business district: http://t.co/iqgdmiCDNh http://t.co/HCzDIJCPAo "
"real","Just fyi, if you're using a hostage situation to justify your racism and Islamophobia you're using the same tactics as jihadis #sydneysiege "
"real","#Coquitlam crews are on Sydney Ave after a male was thrown off a 3 story balcony. PD say on arrival male is conscious &amp; smoking a cigarette "
"real","Sydney's Muslim leaders express their concerns; organisations have offered to help in 'any way they can' http://t.co/pygT3CHV9X #SydneySiege "
"real","NSW Premier Mike Baird says his thoughts and prayers are with the people in the #sydneysiege. http://t.co/7NdqPYhwcY http://t.co/I71KEcYFIy "
"real","SYDNEY ATTACK- Hostages at Sydney cafe- 13 hostages- 2 gunmen- Hostages seen holding Arabic flagStay with @PzFeed for the latest. "
"real","#sydneysiege #sydneycafesiege our thoughts and prayers r w all Australians tonight. America will NEVER forget that u stood w us after 9/11 "
"real","Don't forget, at this moment, there are thousands of Muslims in Australia rejoicing#sydneysiege #MartinPlace #Auspol http://t.co/eHP47okT7F "
"real","Please don't post /share tactical information/police movements on social media! #sydneysiege "
"real","CNN hasn't been able to rule out the Sydney Tea Party in the Australian hostage crisis. "
"real","Spare a thought for Australia's Muslim community - the vast majority of whom condemn Jihadists' for perverting their religion #sydneysiege "
"real","Fear is what criminals want. Show no fear. The media must calm down and wait for information, and stop the speculation. Thanks. #sydneysiege "
"real","@NSWAmbulance Praying for the safety of all emergency services involved in the @nswpolice operation in Sydney CBD &amp; those inside the cafe "
"real","Police are requesting that no photos are shared on social media #MartinPlaceSiege #SydneySiege #MartinPlace "
"real","Police are requesting that no photos of the Lindt cafe siege are shared on social media #MartinPlaceSiege #SydneySiege #MartinPlace "
"real","Sydney police and gov't officials asking public on site not to tweet info about #MartinPlaceSiege because could be tactically important "
"real","Latest update on the situation in Martin Place from @nswpolice #SydneySiege http://t.co/q9PlmuiAEs "
"real","The Sydney Harbour Bridge is NOT closed. There was an accident on the Cahill Expressway, unrelated to the #SydneySiege. "
"real","Police chopper hovers over a deserted Opera House concourse. #sydneysiege http://t.co/7NdqPYhwcY @cberkman http://t.co/BiZO12n1St "
"real","NSW Police: Police urge the media to be responsible in their reporting. Speculation can cause unnecessary alarm. #SydneySiege "
"real","NSW Police: Police urge the media to be responsible in their reporting. Speculation can cause unnecessary alarm. #SydneySiege "
"real","Can someone pls cite Qur'anic verse about taking hostages at a chocolate shop to spread Islam? I'm having trouble finding it. #sydneysiege "
"real","Did somebody forget to tell that radical Islamist that guns are banned in Australia?!?! #BadGuysDontFollowGunLaws. #sydneysiege "
"real","God bless all the hostages being held in Sydney today .. I pray that this all ends well and nobody gets hurt !! "
"real","A terrorist attack in Sydney.A major police operation is under way in Sydney, Australia.http://t.co/XpJSqGJzn8 http://t.co/rdMiU10SNI "
"real","Unfortunately this is where Twitter is at it's best and worst. Please don't tweet about #sydneysiege with police intel or misinformed rants "
"real","“This is obviously a deeply concerning incident,” Australian Prime Minister says on unfolding situation in Sydney. http://t.co/02SVSxOrFt "
"real","You only look like a fuck wit when you make up stories relating to the #sydneysiege - Unless you read it from the police - don't believe it "
"real","PM Tony Abbott will hold a press conference on the #SydneySiege in 20 minutes. "
"real","My thoughts are with the people in Sydney right now "
"real","If the black flag seems familiar,it's because it was also flying during Gaza protests in Sydney that went unnoticed. http://t.co/DE8zWJ9mHX "
"real","This is a man with a gun.Not a religion.This is a man with a gun.Not a people.He is no more powerful than we let him be.#sydneysiege "
"real","Australian prime minister Tony Abbott to hold news conference live on Sky News at 1.30am GMT about ongoing Sydney hostage situation "
"real","Let's keep in mind that no one associates the KKK with Christianity #SydneySiege "
"real","Muslim extremists are always so open to reason and negotiation.This should end well.#sydneysiege "
"real","#ISIS speaks for all Muslims no more than the Klu Klux Klan speaks for all whites. #MartinPlaceSiege #auspol #sydneysiege # sydney #siege "
"real","MASSIVE OPERATION: Hundreds of armed police have swarmed the area. #sydneysiege (LIVE) http://t.co/uq626Z2Sfu http://t.co/oKLjdaWVAk "
"real","Mass disbelief: crowds looking anxiously, down Martin Place. #sydneysiege http://t.co/U8n9ZWgxmD "
"real","My thoughts go out to the people of Sydney. "
"real","We are calling on all to #PrayForHostages &amp; that Australia will not be hostage to fear &amp; hate. #sydneysiege http://t.co/qAzNfZIUWA "
"real","Dozens of heavily armed police have surrounded the cafe in Sydney's Martin Place. #sydneysiege http://t.co/7NdqPYhwcY http://t.co/wMS99GGwE1 "
"real","Re: #sydneysiege, please remember there are $1.6bn muslims in the world &amp; &gt;99.9999% of them will be just as appalled by this as you. "
"real","Australian PM Abbott expected to speak soon on reported hostage-taking incident in Sydney, @9NewsAUS reports - @WorldNews "
"real","All our love, support and prayers to Sydney &lt;3 "
"real","Important things to remember during #sydneysiege - thanks to @filmvisuality http://t.co/MA73ZCspvd "
"real","Sitting in Melbourne watching what's going on in Sydney...I bloody hope it ends ok for those poor people! Disgusting behaviour! 😡 "
"real","A crowd gathers near Martin Place. #sydneysiege http://t.co/7NdqPYhwcY @JezNews http://t.co/hCgUyOcuhn "
"real","Canada's thoughts and prayers are with our Australian friends. #MartinPlace #SydneySiege "
"real","A post of what we actually do know about the #Lindt Sydney siege. It is not very long. http://t.co/QLRHSjYdib "
"real","Is the Sydney hostage taker a Muslim because of the flag hoisted? "
"real","Crucial things to consider when watching breaking news. http://t.co/HjQjv209s3 #Sydney http://t.co/aeMn0dp5qL "
"real","The best source for the latest updates on #sydneysiege is @nswpolice. Follow @131500trains, @131500buses &amp; @131500ferries for transport info "
"real","People evacuating via small ladders (above the Lindt cafe) #sydneysiege #MartinPlaceSiegePhoto by@John__Donegan http://t.co/G8HhZwnR9h "
"real","Weep for media credibility. The Australian's @SharriMarkson was tweeting Channel 9 reports of 2GB Ray Hadley's 'rumours.' #SydneySiege "
"real","LIVE: Police operation underway at Sydney's #MartinPlace; train station also shut http://t.co/YYXZGAVclP http://t.co/5IPTUT3Iih "
"real","Please, please, please read these tips for major news stories, especially when lives are at stake. #sydneysiege http://t.co/QgToJNV2b1 "
"real","As reports come in from Sydney, remember that news outlets will get things things wrong. http://t.co/d5Mq0NkswF http://t.co/9QaOK3UksY "
"real","Praying for Sydney. Also thank heavens for streaming foreign networks because American media is completely MIA. "
"real","Photo Gallery: The latest pictures from Lindt cafe #SydneySiege http://t.co/rZG7Zb7jyt http://t.co/3IAGGW81yp "
"real","Praying for this insanity to stop. #sydneysiege "
"real",".@cnni NOT showing live pics of #sydneysiege to protect police &amp; hostages. Unless noted, images are recorded. Anchors are live. #Australia "
"real","Really hope #sydneysiege hostage are rescued. But worth noting most jihadi victims are Muslims http://t.co/Y0Gs7jspLE http://t.co/TxZu4vGDDx "
"real","Remember, Sydney terrorists have nothing to do with Islam. Now, can someone please translate this flag they're using? http://t.co/ywd9JAmZ0A "
"real","Terrible scenes in Sydney at the moment. I prey it ends peacefully "
"real","Aussie Muslim Mullah on @BBCWorld brings up 'Australia's Foreign Policy' in discussion over #SydneySiege. Shame @BBCNews for indulging him. "
"real","Australian Prime Minister Tony Abbott addressing incident in Sydney. Watch live on CNNgo. http://t.co/HAhU3MDTUj "
"real","JUST IN: US Consulate in Sydney issues emergency message to US citizens to maintain a high level of vigilance due to hostage situation. "
"real","My fellow Australians. Let's stand together against the #sydneysiege as well as the hatred against innocent Muslim #Australians. "
"real","Australia is a peaceful, open, generous society and nothing should change that - PM Tony Abbott on hostage situation at Sydney cafe #7News "
"real","Australian PM Abbott: Motivation of perpetrator in Sydney hostage situation is not yet known - @9NewsAUS http://t.co/SI01B997xf "
"real","PM Abbott: Our thoughts and prayers must above all go out to the individuals that are caught up in this. #SydneySiege "
"real","WH now confirming with me President Obama HAS been briefed on #sydneysiege by Homeland Security and Counterterrorism chief Lisa Monaco "
"real","We don't know motivation of #sydneysiege perpetrators yet - Australian leader Tony Abbott http://t.co/z9JrtJ2IN3 "
"real","Australia's leader Tony Abbott addresses #sydneysiege; no questions from the media taken http://t.co/z9JrtJ2IN3 http://t.co/jgNI6ey7CJ "
"real","We continue to monitor the situation in #Sydney closely. I've been in touch with @JulieBishopMP and expressed our thoughts and prayers. "
"real","Follow all of the latest updates on #sydneysiege on our #live blog http://t.co/7NdqPYhwcY http://t.co/hUbJsVwJOn "
"real","Here's a transcript of the Prime Minister's press conference on #SydneySiege #MartinPlaceSiege http://t.co/UjX25PbCg8 "
"real","Thoughts also with the Muslim community whose name and religion has again been hijacked against their will. #sydneysiege #notintheirname "
"real","The fact that I see thank god 5sos and 1d aren't in Sydney pisses me off even more. Stop being ignorant and disrespectful. "
"real","On the #sydneysiege: all our people are safe &amp; accounted for after our Martin Place studios were evacuated. Our thoughts with all involved. "
"real","The crowd and media at Martin Place. Photo by @John__Donegan #MartinPlaceSiege #sydneysiege http://t.co/ecyxkiReTD "
"real","I stand in solidarity with Muslim Australians &amp; condemn anyone who uses this as an excuse for Islamaphobia. #sydneysiege #MartinPlace "
"real","Who are Australia's radicalised Muslims? http://t.co/OJwV3U8EqL #sydneysiege #MartinPlaceSiege #Lindt http://t.co/dUM7BM0GPu "
"real","Abbott Govt MP @andrewnikolic using ongoing #SydneySiege terror to smear @Greens MP. Resign now you disgusting turd http://t.co/9FOfmGOrtu "
